nm	Abs
527.60	0.137
527.40	0.137
527.20	0.136
527.00	0.137
526.80	0.136
526.60	0.134
526.40	0.134
526.20	0.132
526.00	0.133
525.80	0.132
525.60	0.132
525.40	0.131
525.20	0.131
525.00	0.129
524.80	0.130
524.60	0.130
524.40	0.128
524.20	0.127
524.00	0.127
523.80	0.127
523.60	0.127
523.40	0.126
523.20	0.123
523.00	0.124
522.80	0.123
522.60	0.124
522.40	0.122
522.20	0.121
522.00	0.122
521.80	0.121
521.60	0.120
521.40	0.120
521.20	0.120
521.00	0.119
520.80	0.118
520.60	0.117
520.40	0.118
520.20	0.115
520.00	0.116
519.80	0.115
519.60	0.115
519.40	0.115
519.20	0.114
519.00	0.114
518.80	0.113
518.60	0.112
518.40	0.112
518.20	0.111
518.00	0.111
517.80	0.110
517.60	0.109
517.40	0.109
517.20	0.110
517.00	0.107
516.80	0.109
516.60	0.108
516.40	0.107
516.20	0.107
516.00	0.106
515.80	0.106
515.60	0.106
515.40	0.104
515.20	0.104
515.00	0.104
514.80	0.104
514.60	0.105
514.40	0.103
514.20	0.103
514.00	0.103
513.80	0.103
513.60	0.102
513.40	0.101
513.20	0.102
513.00	0.100
512.80	0.099
512.60	0.099
512.40	0.100
512.20	0.100
512.00	0.098
511.80	0.098
511.60	0.098
511.40	0.097
511.20	0.097
511.00	0.096
510.80	0.095
510.60	0.097
510.40	0.096
510.20	0.096
510.00	0.095
509.80	0.096
509.60	0.095
509.40	0.094
509.20	0.093
509.00	0.094
508.80	0.093
508.60	0.093
508.40	0.092
508.20	0.092
508.00	0.091
507.80	0.092
507.60	0.092
507.40	0.092
507.20	0.091
507.00	0.091
506.80	0.090
506.60	0.090
506.40	0.089
506.20	0.089
506.00	0.091
505.80	0.089
505.60	0.088
505.40	0.088
505.20	0.087
505.00	0.088
504.80	0.087
504.60	0.086
504.40	0.088
504.20	0.087
504.00	0.086
503.80	0.086
503.60	0.086
503.40	0.086
503.20	0.086
503.00	0.085
502.80	0.086
502.60	0.085
502.40	0.086
502.20	0.085
502.00	0.084
501.80	0.085
501.60	0.085
501.40	0.085
501.20	0.083
501.00	0.083
500.80	0.082
500.60	0.084
500.40	0.083
500.20	0.081
500.00	0.084
499.80	0.082
499.60	0.083
499.40	0.082
499.20	0.082
499.00	0.082
498.80	0.082
498.60	0.081
498.40	0.082
498.20	0.081
498.00	0.081
497.80	0.079
497.60	0.079
497.40	0.082
497.20	0.081
497.00	0.080
496.80	0.080
496.60	0.078
496.40	0.081
496.20	0.080
496.00	0.080
495.80	0.080
495.60	0.080
495.40	0.078
495.20	0.079
495.00	0.080
494.80	0.078
494.60	0.079
494.40	0.079
494.20	0.079
494.00	0.080
493.80	0.078
493.60	0.078
493.40	0.078
493.20	0.078
493.00	0.078
492.80	0.078
492.60	0.078
492.40	0.077
492.20	0.078
492.00	0.079
491.80	0.078
491.60	0.077
491.40	0.077
491.20	0.077
491.00	0.077
490.80	0.078
490.60	0.076
490.40	0.077
490.20	0.077
490.00	0.076
489.80	0.076
489.60	0.077
