nm	Abs
628.40	0.048
628.20	0.049
628.00	0.051
627.80	0.052
627.60	0.053
627.40	0.054
627.20	0.055
627.00	0.056
626.80	0.059
626.60	0.060
626.40	0.061
626.20	0.063
626.00	0.064
625.80	0.065
625.60	0.067
625.40	0.069
625.20	0.071
625.00	0.071
624.80	0.074
624.60	0.076
624.40	0.077
624.20	0.079
624.00	0.081
623.80	0.083
623.60	0.085
623.40	0.087
623.20	0.090
623.00	0.091
622.80	0.092
622.60	0.095
622.40	0.096
622.20	0.099
622.00	0.101
621.80	0.103
621.60	0.105
621.40	0.109
621.20	0.111
621.00	0.113
620.80	0.116
620.60	0.118
620.40	0.122
620.20	0.124
620.00	0.125
619.80	0.129
619.60	0.131
619.40	0.134
619.20	0.138
619.00	0.140
618.80	0.143
618.60	0.146
618.40	0.150
618.20	0.151
618.00	0.155
617.80	0.158
617.60	0.161
617.40	0.165
617.20	0.167
617.00	0.171
616.80	0.174
616.60	0.178
616.40	0.181
616.20	0.185
616.00	0.189
615.80	0.192
615.60	0.195
615.40	0.199
615.20	0.202
615.00	0.207
614.80	0.209
614.60	0.213
614.40	0.216
614.20	0.222
614.00	0.225
613.80	0.229
613.60	0.233
613.40	0.237
613.20	0.241
613.00	0.245
612.80	0.250
612.60	0.255
612.40	0.258
612.20	0.263
612.00	0.269
611.80	0.272
611.60	0.277
611.40	0.281
611.20	0.288
611.00	0.292
610.80	0.297
610.60	0.301
610.40	0.307
610.20	0.311
610.00	0.317
609.80	0.323
609.60	0.326
609.40	0.332
609.20	0.337
609.00	0.342
608.80	0.347
608.60	0.353
608.40	0.357
608.20	0.363
608.00	0.368
607.80	0.373
607.60	0.378
607.40	0.383
607.20	0.388
607.00	0.394
606.80	0.399
606.60	0.404
606.40	0.410
606.20	0.415
606.00	0.420
605.80	0.425
605.60	0.431
605.40	0.435
605.20	0.439
605.00	0.446
604.80	0.452
604.60	0.456
604.40	0.461
604.20	0.467
604.00	0.472
603.80	0.477
603.60	0.481
603.40	0.487
603.20	0.492
603.00	0.497
602.80	0.503
602.60	0.507
602.40	0.513
602.20	0.517
602.00	0.522
601.80	0.528
601.60	0.534
601.40	0.539
601.20	0.542
601.00	0.549
600.80	0.552
600.60	0.557
600.40	0.562
600.20	0.569
600.00	0.572
599.80	0.576
599.60	0.579
599.40	0.585
599.20	0.589
599.00	0.593
598.80	0.598
598.60	0.600
598.40	0.606
598.20	0.608
598.00	0.613
597.80	0.617
597.60	0.619
597.40	0.623
597.20	0.628
597.00	0.629
596.80	0.633
596.60	0.636
596.40	0.639
596.20	0.643
596.00	0.645
595.80	0.647
595.60	0.649
595.40	0.653
595.20	0.654
595.00	0.657
594.80	0.659
594.60	0.662
594.40	0.663
594.20	0.665
594.00	0.666
593.80	0.667
593.60	0.670
593.40	0.671
593.20	0.673
593.00	0.674
592.80	0.676
592.60	0.678
592.40	0.678
592.20	0.679
592.00	0.679
591.80	0.680
591.60	0.681
591.40	0.682
591.20	0.683
591.00	0.682
590.80	0.682
590.60	0.683
590.40	0.683
590.20	0.683
590.00	0.683
589.80	0.683
589.60	0.683
589.40	0.683
589.20	0.683
589.00	0.680
588.80	0.680
588.60	0.681
588.40	0.679
588.20	0.679
588.00	0.678
587.80	0.677
587.60	0.674
587.40	0.674
587.20	0.673
587.00	0.671
586.80	0.671
586.60	0.669
586.40	0.668
586.20	0.666
586.00	0.665
585.80	0.663
585.60	0.662
585.40	0.659
585.20	0.657
585.00	0.656
584.80	0.654
584.60	0.653
584.40	0.650
584.20	0.648
584.00	0.647
583.80	0.644
583.60	0.641
583.40	0.638
583.20	0.638
583.00	0.635
582.80	0.633
582.60	0.630
582.40	0.628
582.20	0.624
582.00	0.622
581.80	0.621
581.60	0.617
581.40	0.614
581.20	0.611
581.00	0.608
580.80	0.606
580.60	0.604
580.40	0.602
580.20	0.598
580.00	0.595
579.80	0.593
579.60	0.589
579.40	0.587
579.20	0.584
579.00	0.580
578.80	0.578
578.60	0.575
578.40	0.574
578.20	0.570
578.00	0.568
577.80	0.565
577.60	0.561
577.40	0.559
577.20	0.557
577.00	0.553
576.80	0.552
576.60	0.549
576.40	0.545
576.20	0.542
576.00	0.539
575.80	0.537
575.60	0.535
575.40	0.533
575.20	0.529
575.00	0.526
574.80	0.524
574.60	0.521
574.40	0.519
574.20	0.515
574.00	0.512
573.80	0.511
573.60	0.508
573.40	0.506
573.20	0.504
573.00	0.499
572.80	0.498
572.60	0.496
572.40	0.492
572.20	0.490
572.00	0.488
571.80	0.486
571.60	0.483
571.40	0.480
571.20	0.478
571.00	0.474
570.80	0.473
570.60	0.470
570.40	0.467
570.20	0.466
570.00	0.464
569.80	0.460
569.60	0.459
569.40	0.457
569.20	0.453
569.00	0.450
568.80	0.450
568.60	0.446
568.40	0.445
568.20	0.443
568.00	0.441
567.80	0.440
567.60	0.436
567.40	0.435
567.20	0.433
567.00	0.432
566.80	0.429
566.60	0.427
566.40	0.425
566.20	0.423
566.00	0.421
565.80	0.418
565.60	0.418
565.40	0.416
565.20	0.415
565.00	0.412
564.80	0.411
564.60	0.409
564.40	0.407
564.20	0.406
564.00	0.403
563.80	0.403
563.60	0.400
563.40	0.399
563.20	0.397
563.00	0.397
562.80	0.393
562.60	0.391
562.40	0.390
562.20	0.389
562.00	0.387
561.80	0.386
561.60	0.385
561.40	0.382
561.20	0.381
561.00	0.380
560.80	0.377
560.60	0.376
560.40	0.374
560.20	0.373
560.00	0.371
559.80	0.370
559.60	0.369
559.40	0.367
559.20	0.365
559.00	0.364
558.80	0.364
558.60	0.361
558.40	0.360
558.20	0.358
558.00	0.357
557.80	0.355
557.60	0.355
557.40	0.352
557.20	0.352
557.00	0.350
556.80	0.349
556.60	0.348
556.40	0.346
556.20	0.345
556.00	0.344
555.80	0.343
555.60	0.342
555.40	0.339
555.20	0.339
555.00	0.338
554.80	0.336
554.60	0.335
554.40	0.335
554.20	0.333
554.00	0.332
553.80	0.330
553.60	0.330
553.40	0.328
553.20	0.326
553.00	0.325
552.80	0.322
552.60	0.323
552.40	0.323
552.20	0.321
552.00	0.320
551.80	0.318
551.60	0.317
551.40	0.316
551.20	0.314
551.00	0.313
550.80	0.311
550.60	0.310
550.40	0.308
550.20	0.307
550.00	0.307
549.80	0.305
549.60	0.304
549.40	0.302
549.20	0.301
549.00	0.299
548.80	0.299
548.60	0.297
548.40	0.297
548.20	0.296
548.00	0.294
547.80	0.294
547.60	0.292
547.40	0.291
547.20	0.288
547.00	0.289
546.80	0.288
546.60	0.285
546.40	0.284
546.20	0.283
546.00	0.282
545.80	0.281
545.60	0.280
545.40	0.278
545.20	0.278
545.00	0.276
544.80	0.275
544.60	0.273
544.40	0.273
544.20	0.272
544.00	0.270
543.80	0.269
543.60	0.267
543.40	0.267
543.20	0.265
543.00	0.264
542.80	0.262
542.60	0.262
542.40	0.261
542.20	0.259
542.00	0.258
541.80	0.257
541.60	0.255
541.40	0.255
541.20	0.253
541.00	0.252
540.80	0.252
540.60	0.250
540.40	0.247
540.20	0.246
540.00	0.246
539.80	0.244
539.60	0.243
539.40	0.242
539.20	0.241
539.00	0.239
538.80	0.239
538.60	0.237
538.40	0.236
538.20	0.235
538.00	0.234
537.80	0.232
537.60	0.232
537.40	0.230
537.20	0.229
537.00	0.227
536.80	0.226
536.60	0.226
536.40	0.224
536.20	0.223
536.00	0.222
535.80	0.221
535.60	0.219
535.40	0.218
535.20	0.217
535.00	0.216
534.80	0.216
534.60	0.214
534.40	0.212
534.20	0.212
534.00	0.211
533.80	0.209
533.60	0.207
533.40	0.207
533.20	0.206
533.00	0.205
532.80	0.204
532.60	0.202
532.40	0.202
532.20	0.200
532.00	0.198
531.80	0.198
531.60	0.197
531.40	0.196
531.20	0.194
531.00	0.200
530.80	0.199
530.60	0.197
530.40	0.196
530.20	0.196
530.00	0.194
529.80	0.192
529.60	0.192
529.40	0.191
529.20	0.190
529.00	0.188
528.80	0.186
528.60	0.187
528.40	0.185
528.20	0.186
528.00	0.183
527.80	0.184
527.60	0.182
527.40	0.181
527.20	0.179
527.00	0.179
526.80	0.180
526.60	0.177
526.40	0.177
526.20	0.174
526.00	0.173
525.80	0.172
525.60	0.173
525.40	0.171
525.20	0.171
525.00	0.168
524.80	0.169
524.60	0.166
524.40	0.166
524.20	0.166
524.00	0.165
523.80	0.164
523.60	0.163
523.40	0.163
523.20	0.161
523.00	0.159
522.80	0.158
522.60	0.159
522.40	0.158
522.20	0.156
522.00	0.156
521.80	0.154
521.60	0.153
521.40	0.152
521.20	0.151
521.00	0.151
520.80	0.151
520.60	0.150
520.40	0.149
520.20	0.147
520.00	0.147
519.80	0.145
519.60	0.145
519.40	0.144
519.20	0.141
519.00	0.142
518.80	0.142
518.60	0.141
518.40	0.141
518.20	0.138
518.00	0.138
517.80	0.138
517.60	0.135
517.40	0.135
517.20	0.136
517.00	0.133
516.80	0.134
516.60	0.133
516.40	0.131
516.20	0.132
516.00	0.131
515.80	0.130
515.60	0.130
515.40	0.128
515.20	0.127
515.00	0.126
514.80	0.125
514.60	0.126
514.40	0.125
514.20	0.124
514.00	0.123
513.80	0.123
513.60	0.122
513.40	0.122
513.20	0.121
513.00	0.119
512.80	0.118
512.60	0.118
512.40	0.118
512.20	0.117
512.00	0.116
511.80	0.115
511.60	0.114
511.40	0.114
511.20	0.114
511.00	0.112
510.80	0.111
510.60	0.113
510.40	0.110
510.20	0.109
510.00	0.109
509.80	0.108
509.60	0.108
509.40	0.107
509.20	0.105
509.00	0.106
508.80	0.104
508.60	0.105
508.40	0.105
508.20	0.104
508.00	0.102
507.80	0.103
507.60	0.102
507.40	0.101
507.20	0.100
507.00	0.099
506.80	0.098
506.60	0.098
506.40	0.098
506.20	0.097
506.00	0.097
505.80	0.096
505.60	0.095
505.40	0.095
505.20	0.094
505.00	0.094
504.80	0.092
504.60	0.092
504.40	0.093
504.20	0.091
504.00	0.091
503.80	0.091
503.60	0.090
503.40	0.090
503.20	0.089
503.00	0.088
502.80	0.088
502.60	0.086
502.40	0.087
502.20	0.086
502.00	0.085
501.80	0.085
501.60	0.084
501.40	0.084
501.20	0.083
501.00	0.082
500.80	0.081
500.60	0.082
500.40	0.082
500.20	0.079
500.00	0.079
499.80	0.078
499.60	0.079
499.40	0.078
499.20	0.077
499.00	0.077
498.80	0.077
498.60	0.077
498.40	0.077
498.20	0.075
498.00	0.074
497.80	0.073
497.60	0.073
497.40	0.074
497.20	0.073
497.00	0.073
496.80	0.072
496.60	0.071
496.40	0.072
496.20	0.071
496.00	0.070
495.80	0.070
495.60	0.070
495.40	0.070
495.20	0.069
495.00	0.069
494.80	0.068
494.60	0.067
494.40	0.067
494.20	0.066
494.00	0.066
493.80	0.066
493.60	0.064
493.40	0.064
493.20	0.065
493.00	0.064
492.80	0.063
492.60	0.063
492.40	0.062
492.20	0.061
492.00	0.061
491.80	0.061
491.60	0.062
491.40	0.061
491.20	0.060
491.00	0.059
490.80	0.060
490.60	0.058
490.40	0.058
490.20	0.058
490.00	0.057
489.80	0.057
489.60	0.057
489.40	0.056
489.20	0.056
489.00	0.056
488.80	0.055
488.60	0.055
488.40	0.055
488.20	0.055
488.00	0.053
487.80	0.053
487.60	0.052
487.40	0.052
487.20	0.052
487.00	0.051
486.80	0.051
486.60	0.050
486.40	0.051
486.20	0.050
486.00	0.050
485.80	0.050
485.60	0.049
485.40	0.048
485.20	0.048
485.00	0.048
484.80	0.048
484.60	0.047
484.40	0.048
484.20	0.047
484.00	0.047
483.80	0.046
483.60	0.048
483.40	0.044
483.20	0.045
483.00	0.045
482.80	0.045
482.60	0.044
482.40	0.044
482.20	0.044
482.00	0.042
481.80	0.043
481.60	0.041
481.40	0.043
481.20	0.042
481.00	0.043
480.80	0.042
480.60	0.040
480.40	0.040
480.20	0.041
480.00	0.041
479.80	0.040
479.60	0.040
479.40	0.040
479.20	0.040
479.00	0.038
478.80	0.039
478.60	0.038
478.40	0.037
478.20	0.037
478.00	0.037
477.80	0.038
477.60	0.036
477.40	0.038
477.20	0.036
477.00	0.035
476.80	0.037
476.60	0.034
476.40	0.035
476.20	0.034
476.00	0.034
475.80	0.034
475.60	0.033
475.40	0.032
475.20	0.034
475.00	0.031
474.80	0.033
474.60	0.032
474.40	0.032
474.20	0.032
474.00	0.031
473.80	0.031
473.60	0.030
473.40	0.029
473.20	0.030
473.00	0.031
472.80	0.030
472.60	0.030
472.40	0.029
472.20	0.030
472.00	0.028
471.80	0.030
471.60	0.029
471.40	0.029
471.20	0.028
471.00	0.028
470.80	0.028
470.60	0.027
470.40	0.027
470.20	0.025
470.00	0.026
469.80	0.027
469.60	0.025
469.40	0.026
469.20	0.026
469.00	0.026
468.80	0.024
468.60	0.024
468.40	0.023
468.20	0.025
468.00	0.025
467.80	0.024
467.60	0.025
467.40	0.023
467.20	0.022
467.00	0.024
466.80	0.025
466.60	0.024
466.40	0.022
