nm	Abs
565.80	-0.011
565.60	-0.011
565.40	-0.011
565.20	-0.011
565.00	-0.011
564.80	-0.011
564.60	-0.011
564.40	-0.011
564.20	-0.010
564.00	-0.011
563.80	-0.010
563.60	-0.011
563.40	-0.011
563.20	-0.010
563.00	-0.010
562.80	-0.011
562.60	-0.010
562.40	-0.011
562.20	-0.011
562.00	-0.010
561.80	-0.010
561.60	-0.011
561.40	-0.010
561.20	-0.010
561.00	-0.010
560.80	-0.011
560.60	-0.010
560.40	-0.011
560.20	-0.010
560.00	-0.011
559.80	-0.010
559.60	-0.010
559.40	-0.010
559.20	-0.010
559.00	-0.010
558.80	-0.009
558.60	-0.010
558.40	-0.009
558.20	-0.010
558.00	-0.010
557.80	-0.010
557.60	-0.009
557.40	-0.010
557.20	-0.010
557.00	-0.010
556.80	-0.009
556.60	-0.010
556.40	-0.010
556.20	-0.009
556.00	-0.009
555.80	-0.010
555.60	-0.009
555.40	-0.010
555.20	-0.009
555.00	-0.009
554.80	-0.010
554.60	-0.010
554.40	-0.009
554.20	-0.009
554.00	-0.009
553.80	-0.009
553.60	-0.008
553.40	-0.008
553.20	-0.009
553.00	-0.008
552.80	-0.010
552.60	-0.009
552.40	-0.008
552.20	-0.008
552.00	-0.008
551.80	-0.008
551.60	-0.008
551.40	-0.009
551.20	-0.009
551.00	-0.008
550.80	-0.009
550.60	-0.008
550.40	-0.009
550.20	-0.009
550.00	-0.008
549.80	-0.008
549.60	-0.008
549.40	-0.009
549.20	-0.008
549.00	-0.007
548.80	-0.008
548.60	-0.008
548.40	-0.007
548.20	-0.008
548.00	-0.008
547.80	-0.006
547.60	-0.006
547.40	-0.006
547.20	-0.007
547.00	-0.007
546.80	-0.006
546.60	-0.007
546.40	-0.007
546.20	-0.007
546.00	-0.006
545.80	-0.007
545.60	-0.006
545.40	-0.007
545.20	-0.006
545.00	-0.006
544.80	-0.006
544.60	-0.006
544.40	-0.006
544.20	-0.005
544.00	-0.006
543.80	-0.006
543.60	-0.007
543.40	-0.005
543.20	-0.005
543.00	-0.005
542.80	-0.005
542.60	-0.005
542.40	-0.006
542.20	-0.006
542.00	-0.005
541.80	-0.004
541.60	-0.005
541.40	-0.005
541.20	-0.005
541.00	-0.004
540.80	-0.003
540.60	-0.005
540.40	-0.006
540.20	-0.005
540.00	-0.003
539.80	-0.004
539.60	-0.004
539.40	-0.004
539.20	-0.002
539.00	-0.003
538.80	-0.003
538.60	-0.002
538.40	-0.002
538.20	-0.003
538.00	-0.002
537.80	-0.002
537.60	-0.002
537.40	-0.002
537.20	-0.002
537.00	-0.002
536.80	-0.002
536.60	-0.001
536.40	-0.002
536.20	-0.001
536.00	-0.001
535.80	-0.001
535.60	-0.002
535.40	-0.002
535.20	0.000
535.00	0.000
534.80	0.000
534.60	0.000
534.40	-0.001
534.20	0.001
534.00	0.000
533.80	0.001
533.60	0.000
533.40	0.001
533.20	0.001
533.00	0.001
532.80	0.001
532.60	0.002
532.40	0.002
532.20	0.002
532.00	0.001
531.80	0.001
531.60	0.002
531.40	0.002
531.20	0.003
531.00	0.010
530.80	0.009
530.60	0.010
530.40	0.009
530.20	0.011
530.00	0.011
529.80	0.009
529.60	0.010
529.40	0.011
529.20	0.011
529.00	0.011
528.80	0.010
528.60	0.012
528.40	0.011
528.20	0.013
528.00	0.011
527.80	0.013
527.60	0.013
527.40	0.014
527.20	0.013
527.00	0.014
526.80	0.015
526.60	0.014
526.40	0.014
526.20	0.014
526.00	0.015
525.80	0.016
525.60	0.016
525.40	0.015
525.20	0.015
525.00	0.016
524.80	0.016
524.60	0.016
524.40	0.017
524.20	0.017
524.00	0.017
523.80	0.017
523.60	0.018
523.40	0.019
523.20	0.017
523.00	0.018
522.80	0.019
522.60	0.019
522.40	0.020
522.20	0.019
522.00	0.019
521.80	0.021
521.60	0.020
521.40	0.021
521.20	0.020
521.00	0.023
520.80	0.022
520.60	0.022
520.40	0.022
520.20	0.022
520.00	0.023
519.80	0.024
519.60	0.023
519.40	0.024
519.20	0.023
519.00	0.024
518.80	0.025
518.60	0.025
518.40	0.025
518.20	0.026
518.00	0.026
517.80	0.027
517.60	0.025
517.40	0.027
517.20	0.027
517.00	0.028
516.80	0.028
516.60	0.029
516.40	0.028
516.20	0.030
516.00	0.029
515.80	0.029
515.60	0.030
515.40	0.029
515.20	0.032
515.00	0.031
514.80	0.031
514.60	0.032
514.40	0.032
514.20	0.033
514.00	0.033
513.80	0.034
513.60	0.033
513.40	0.034
513.20	0.035
513.00	0.035
512.80	0.035
512.60	0.036
512.40	0.036
512.20	0.036
512.00	0.037
511.80	0.037
511.60	0.039
511.40	0.038
511.20	0.039
511.00	0.039
510.80	0.038
510.60	0.041
510.40	0.040
510.20	0.041
510.00	0.041
509.80	0.042
509.60	0.042
509.40	0.042
509.20	0.043
509.00	0.043
508.80	0.043
508.60	0.046
508.40	0.045
508.20	0.046
508.00	0.046
507.80	0.047
507.60	0.047
507.40	0.047
507.20	0.047
507.00	0.047
506.80	0.049
506.60	0.049
506.40	0.050
506.20	0.050
506.00	0.052
505.80	0.051
505.60	0.052
505.40	0.052
505.20	0.053
505.00	0.054
504.80	0.054
504.60	0.053
504.40	0.055
504.20	0.055
504.00	0.055
503.80	0.057
503.60	0.056
503.40	0.057
503.20	0.057
503.00	0.058
502.80	0.059
502.60	0.058
502.40	0.060
502.20	0.060
502.00	0.061
501.80	0.061
501.60	0.062
501.40	0.064
501.20	0.062
501.00	0.064
500.80	0.063
500.60	0.065
500.40	0.066
500.20	0.065
500.00	0.068
499.80	0.066
499.60	0.067
499.40	0.068
499.20	0.069
499.00	0.069
498.80	0.071
498.60	0.070
498.40	0.072
498.20	0.071
498.00	0.073
497.80	0.073
497.60	0.073
497.40	0.074
497.20	0.075
497.00	0.076
496.80	0.076
496.60	0.077
496.40	0.077
496.20	0.078
496.00	0.078
495.80	0.081
495.60	0.079
495.40	0.079
495.20	0.082
495.00	0.081
494.80	0.082
494.60	0.082
494.40	0.083
494.20	0.082
494.00	0.085
493.80	0.086
493.60	0.086
493.40	0.087
493.20	0.087
493.00	0.088
492.80	0.088
492.60	0.089
492.40	0.090
492.20	0.091
492.00	0.091
491.80	0.091
491.60	0.094
491.40	0.094
491.20	0.093
491.00	0.096
490.80	0.097
490.60	0.096
490.40	0.097
490.20	0.097
490.00	0.097
489.80	0.100
489.60	0.099
489.40	0.101
489.20	0.101
489.00	0.102
488.80	0.103
488.60	0.105
488.40	0.105
488.20	0.105
488.00	0.105
487.80	0.107
487.60	0.107
487.40	0.108
487.20	0.107
487.00	0.110
486.80	0.111
486.60	0.110
486.40	0.111
486.20	0.113
486.00	0.113
485.80	0.113
485.60	0.114
485.40	0.115
485.20	0.115
485.00	0.116
484.80	0.117
484.60	0.118
484.40	0.120
484.20	0.119
484.00	0.120
483.80	0.121
483.60	0.123
483.40	0.122
483.20	0.123
483.00	0.125
482.80	0.125
482.60	0.125
482.40	0.127
482.20	0.127
482.00	0.127
481.80	0.128
481.60	0.128
481.40	0.129
481.20	0.131
481.00	0.131
480.80	0.132
480.60	0.133
480.40	0.134
480.20	0.134
480.00	0.137
479.80	0.134
479.60	0.137
479.40	0.138
479.20	0.138
479.00	0.138
478.80	0.141
478.60	0.141
478.40	0.140
478.20	0.141
478.00	0.143
477.80	0.143
477.60	0.145
477.40	0.147
